tipo,item_pt_br,total
EMOCAO,Triste,11
EMOCAO,Neutro,10
EMOCAO,Alegre,4
EMOCAO,Surpreso,2
EMOCAO,Medo,1
EMOCAO,Raiva,1
ACAO,Um homem e uma mulher sentados numa mesa com laptops.,2
ACAO,dança,2
ACAO,Um grupo de pessoas sentadas em uma sala com papéis, em uma sala com papéis, em uma sala com papéis.,2
ACAO,Um homem com vidros e uma barba barbada.,1
ACAO,Um homem com barba e uma camiseta branca, com um homem de barba e uma camiseta branca, com um homem de barba e uma camiseta branca, com um homem de barba e uma camiseta branca, com um homem de barba e uma camiseta branca, com um homem de barba e uma camiseta branca, com um homem de,1
ACAO,Uma mulher deitada em um couch com os olhos fechados.,1
ACAO,Um homem está em posição frente a uma loja.,1
ACAO,Um homem e uma mulher sentados numa mesa num escritório,1
ACAO,vídeo,1
ACAO,Uma pessoa apertando as mãos com outra pessoa segurando as mãos com outra pessoa segurando as mãos com outra pessoa segurando as mãos com outra pessoa segurando as mãos com outra pessoa segurando as mãos com outra pessoa segurando as mãos com outra pessoa segurando as mãos com outra pessoa segurando as mãos com outra pessoa segurando as mãos com outra,1
ACAO,Um grupo de pessoas sentados em uma mesa em um consultório, sentando-se em uma mesa,1
ACAO,Um grupo de pessoas em pé em uma linha de conversação, em uma fila de espera, colocam-se em uma fila de pessoas em pé.,1
ACAO,Um homem sentado em um sofá com os braços estendidos por ele.,1
ACAO,Um homem em vidros está trabalhando em um laptop, em vidro, está trabalhando em um lápis.,1
ACAO,Um grupo de pessoas sentadas em uma mesa com laptops, sentados em uma mesa com laptops, sentados em uma mesa com laptops, sentados em uma mesa com laptops, sentados em uma mesa com laptops, sentados em uma mesa com lapto,1
